OBJECTS,MCO_SHEET,API_NAME,SDT_TEMPLATE,TRANSACTION_SHEET
SUPPLIER,Suppliers,CRS620MI,CRS620MI_API.xlsx,"API_CRS620MI_CopyTemplate,API_CRS620MI_UpdSupplier,API_CRS620MI_DelSupplier"
SUPPLIER,Supplier legacy field,CRS181MI,CRS181MI_API.xlsx,CRS181MI_Add
SUPPLIER,Supplier Addresses,CRS620MI,CRS620MI_API.xlsx,API_CRS620MI_AddAddress
SUPPLIER,Supplier Bank Accounts,CRS692MI,CRS692MI_API.xlsx,CRS692MI_AddBankAccount2
SUPPLIER,Supplier Purchase Accounting,CRS620MI,CRS620MI_API.xlsx,"CRS620MI_AddSupplier, CRS610MI_ChgBasicData"
SUPPLIER,Supplier - Reference,CRS620MI,CRS620MI_API.xlsx,API_CRS620MI_AddSupplierRef
CUSTOMER,Customers,CRS610MI,CRS610MI_API.xlsx,"API_CRS610MI_Copy,API_CRS610MI_ChgBasicData,API_CRS610MI_ChgFinancial,API_CRS610MI_ChgOrderInfo,API_CRS610MI_Delete,API_CRS610MI_ChgAddress,API_CRS610MI_AddText"
CUSTOMER,Customer Addresses,CRS610MI,CRS610MI_API.xlsx,API_CRS610MI_AddAddress
CUSTOMER,Customer - Contacts,CRS618MI,CRS618MI_API.xlsx,"API_CRS618MI_Add,API_CRS618MI_Upd"
CUSTOMER,Customer Items,OIS005MI,OIS005MI_API.xlsx,API_OIS005MI_Add
CUSTOMER,Customer - Statistical,CRS610MI,CRS610MI_API.xlsx,"API_CRS610MI_Copy,API_CRS610MI_ChgBasicData,API_CRS610MI_ChgFinancial,API_CRS610MI_ChgOrderInfo,API_CRS610MI_Delete,API_CRS610MI_ChgAddress,API_CRS610MI_AddText"
CUSTOMER,Customer - TextBlock,CRS610MI,CRS610MI_API.xlsx,API_CRS610MI_AddText
CUSTOMER,Customer - CDF,CDFCUST,CUSEXTMI_API.xlsx,API_CUSEXTMI_AddFieldValue
CUSTOMER,Customer Items - CDF,CDFCUSTITEM,CUSEXTMI_API.xlsx,API_CUSEXTMI_AddFieldValue
CUSTOMER,Customer Add Business Chain,OIS038MI,OIS040MI_API.xlsx,OIS040MI_AddBusChain
CUSTOMER,Attach customer to business chain,OIS040MI,OIS040MI_API.xlsx,OIS040MI_AddBusCHainCust
TEXT BLOCKS,Order Entry Text Messages,OIS165MI,OIS165MI_API.xlsx,"OIS165MI_AddCOEntMsg, OIS165MI_AddText"
ITEM,Item Master,MMS200MI,MMS200MI_API.xlsx,"API_MMS200MI_AddItmBasic,API_MMS200MI_UpdItmBasic,API_MMS200MI_DltItm,API_MMS200MI_UpdItmPrice"
ITEM,Item Warehouse,MMS200MI,MMS200MI_API.xlsx,"API_MMS200MI_AddItmWhs,API_MMS200MI_UpdItmWhs,API_MMS200MI_DltItmWhs"
ITEM,Item Facility,MMS200MI,MMS200MI_API.xlsx,API_MMS200MI_UpdItmFac
ITEM,Item Connect Packaging,MMS053MI,MMS053MI_API.xlsx,API_MMS053MI_AddItemConnPkg
ITEM SUPPLIER,Item Supplier,PPS040MI,PPS040MI_API.xlsx,API_PPS040MI_AddItemSupplier
ITEM UM,Item Master Connect Alternate Units of Measure,MMS015MI,MMS015MI_API.xlsx,API_MMS015MI_Add
PRODUCT,Product Header,PDS001MI,PDS001MI_API.xlsx,API_PDS001MI_Add
PRODUCT,Product Materials,PDS002MI,PDS002MI_API.xlsx,API_PDS002MI_AddComponent
PRODUCT,Product Operations,PDS002MI,PDS002MI_API.xlsx,API_PDS002MI_AddOperation
PRODUCT,Product Options,PDS050MI,PDS050MI_API.xlsx,API_PDS050MI_Add
PRODUCT,Product Features,PDS055MI,PDS055MI_API.xlsx,API_PDS055MI_Add
PRODUCT,Product Header Features,PDS001MI,PDS001MI_API.xlsx,API_PDS001MI_AddFeature
PRODUCT,ConnectOptionsFeatures,PDS056MI,PDS056MI_API.xlsx,API_PDS056MI_Add
MISCELLANEOUS ,Work Centers,PDS010MI,PDS010MI_API.xlsx,API_PDS010MI_AddWorkCenter
MISCELLANEOUS ,Work Shifts - MPD_PDS030,PDS030MI,PDS030MI_API.xlsx,
